,0,1,2,3,4
156,ARSA,GAZP,2017-07-07,-0.2484,-0.6362
157,ARSA,GMKN,2017-07-07,-0.1688,-0.304
158,ARSA,IDVP,2017-07-07,-0.2939,-0.4887
159,ARSA,LKOH,2017-07-07,0.1461,0.2573
160,ARSA,MICEXINDEXCF,2017-07-07,-0.1553,-0.5213
161,ARSA,PHOR,2017-07-07,0.0675,0.1475
162,ARSA,RTSCH,2017-07-07,-0.2975,-0.9481
163,ARSA,RTSEU,2017-07-07,0.0,0.0
164,ARSA,RTSI,2017-07-07,-0.1579,-0.4434
165,ARSA,RTSMM,2017-07-07,-0.3968,-0.9998
166,ARSA,RTSSTD,2017-07-07,-0.168,-0.5193
167,ARSA,RTSTN,2017-07-07,0.2894,0.3916
168,ARSA,SBER,2017-07-07,-0.2967,-0.4787
169,ASSB,GAZP,2017-07-07,-0.1576,-0.3376
170,ASSB,GMKN,2017-07-07,-0.0457,-0.0688
171,ASSB,IDVP,2017-07-07,-0.2017,-0.2805
172,ASSB,LKOH,2017-07-07,-0.0409,-0.0602
173,ASSB,MICEXINDEXCF,2017-07-07,-0.1355,-0.3804
174,ASSB,PHOR,2017-07-07,0.0926,0.1692
175,ASSB,RTSCH,2017-07-07,0.554,1.4764
176,ASSB,RTSEU,2017-07-07,0.3469,0.6322
177,ASSB,RTSI,2017-07-07,0.0802,0.1883
178,ASSB,RTSMM,2017-07-07,0.0618,0.1303
179,ASSB,RTSSTD,2017-07-07,-0.1579,-0.4083
180,ASSB,RTSTN,2017-07-07,-0.0548,-0.062
181,ASSB,SBER,2017-07-07,-0.25,-0.3373
182,AVAN,GAZP,2017-07-07,-0.0236,-0.1469
183,AVAN,GMKN,2017-07-07,0.0029,0.0127
184,AVAN,IDVP,2017-07-07,-0.176,-0.7101
185,AVAN,LKOH,2017-07-07,0.0954,0.4077
186,AVAN,MICEXINDEXCF,2017-07-07,0.1159,0.9447
187,AVAN,PHOR,2017-07-07,-0.2122,-1.1251
188,AVAN,RTSCH,2017-07-07,0.2126,1.6448
189,AVAN,RTSEU,2017-07-07,0.2607,1.3793
190,AVAN,RTSI,2017-07-07,0.3065,2.0894
191,AVAN,RTSMM,2017-07-07,0.2403,1.4697
192,AVAN,RTSSTD,2017-07-07,0.1275,0.9567
193,AVAN,RTSTN,2017-07-07,0.1317,0.4324
194,AVAN,SBER,2017-07-07,0.18,0.7048
195,AVAZ,GAZP,2017-07-07,0.1015,0.116
196,AVAZ,GMKN,2017-07-07,0.4248,0.3416
197,AVAZ,IDVP,2017-07-07,-0.0422,-0.0313
198,AVAZ,LKOH,2017-07-07,0.3555,0.2794
199,AVAZ,MICEXINDEXCF,2017-07-07,0.2501,0.3748
200,AVAZ,PHOR,2017-07-07,-0.0194,-0.019
201,AVAZ,RTSCH,2017-07-07,0.2861,0.4071
202,AVAZ,RTSEU,2017-07-07,0.1329,0.1293
203,AVAZ,RTSI,2017-07-07,0.2623,0.3289
204,AVAZ,RTSMM,2017-07-07,0.3284,0.3694
205,AVAZ,RTSSTD,2017-07-07,0.2577,0.3557
206,AVAZ,RTSTN,2017-07-07,-0.0784,-0.0474
